Breed,Weight,LitterSize,BirthWeight,Lifespan,T50
Affenpinscher,3.855535145,4.1,0.086,11.42,#N/A
Afghan Hound,24.94758035,8,#N/A,11.92,#N/A
Airedale Terrier,27.2155422,7.4,0.397,10.75,#N/A
Akita,45.359237,6,#N/A,9.92,#N/A
Alaskan Malamute,36.2873896,6.9,0.482,10.71,#N/A
American Bulldog,35.72039914,#N/A,#N/A,#N/A,#N/A
American English Coonhound,24.94758035,#N/A,#N/A,#N/A,#N/A
American Eskimo Dog (Miniature),6.80388555,#N/A,#N/A,#N/A,#N/A
American Eskimo Dog (Standard),13.6077711,#N/A,#N/A,#N/A,#N/A
American Eskimo Dog (Toy),3.62873896,#N/A,#N/A,#N/A,#N/A
American Foxhound,29.48350405,#N/A,#N/A,#N/A,#N/A
American Hairless Terrier,6.35029318,#N/A,#N/A,#N/A,#N/A
American Leopard Hound,26.08156128,#N/A,#N/A,#N/A,#N/A
American Staffordshire Terrier,24.94758035,#N/A,#N/A,#N/A,#N/A
American Water Spaniel,15.87573295,#N/A,#N/A,#N/A,#N/A
Anatolian Shepherd Dog,52.16312255,#N/A,#N/A,10.75,#N/A
Appenzeller Sennenhund,26.76194983,#N/A,#N/A,#N/A,#N/A
Australian Cattle Dog,19.27767573,5.5,0.3,11.67,#N/A
Australian Kelpie,,4.5,#N/A,#N/A,#N/A
Australian Shepherd,23.81359943,8,#N/A,9,#N/A
Australian Stumpy Tail Cattle Dog,17.00971388,#N/A,#N/A,#N/A,#N/A
Australian Terrier,7.937866475,5.5,#N/A,12.08,#N/A
Azawakh,19.95806428,#N/A,#N/A,#N/A,#N/A
Barbet,22.6796185,#N/A,#N/A,#N/A,#N/A
Basenji,10.43262451,4.8,#N/A,13.54,#N/A
Basset Fauve de Bretagne,14.06136347,5.8,#N/A,10.42,#N/A
Basset Hound,23.81359943,6.7,0.45,11.29,18.55
Bavarian Mountain Scent Hound,23.36000706,7.2,#N/A,#N/A,#N/A
Beagle,11.33980925,5.5,#N/A,12.67,17.66
Bearded Collie,22.6796185,5.4,0.298,13.5,#N/A
Beauceron,40.8233133,11,0.481,#N/A,#N/A
Bedlington Terrier,9.0718474,3.6,#N/A,13.38,#N/A
Belgian Laekenois,27.2155422,#N/A,#N/A,#N/A,#N/A
Belgian Malinois,27.2155422,7.1,#N/A,#N/A,#N/A
Belgian Sheepdog,26.64855174,6.3,#N/A,#N/A,#N/A
