TREATMENT,PERIOD,SEX,AGE,CONDITION
FIPRONIL,BEFORE,F,A,131
FIPRONIL,BEFORE,F,J,53
FIPRONIL,BEFORE,M,A,148
FIPRONIL,BEFORE,M,J,183
FIPRONIL,BEFORE,M,A,190
FIPRONIL,BEFORE,M,J,58
FIPRONIL,BEFORE,M,J,176
FIPRONIL,BEFORE,F,J,65
FIPRONIL,BEFORE,M,J,67
FIPRONIL,BEFORE,F,A,139
FIPRONIL,BEFORE,F,J,196
FIPRONIL,BEFORE,F,A,137
FIPRONIL,BEFORE,M,J,67
FIPRONIL,BEFORE,F,A,165
FIPRONIL,BEFORE,F,A,160
FIPRONIL,BEFORE,M,A,151
FIPRONIL,BEFORE,F,J,103
FIPRONIL,BEFORE,F,A,171
FIPRONIL,BEFORE,F,A,180
FIPRONIL,BEFORE,M,J,52
NONE,BEFORE,M,A,145
FIPRONIL,BEFORE,F,A,179
FIPRONIL,BEFORE,F,A,180
FIPRONIL,BEFORE,F,A,171
FIPRONIL,BEFORE,F,J,78
FIPRONIL,BEFORE,M,A,173
FIPRONIL,BEFORE,M,A,211
FIPRONIL,BEFORE,F,A,119
FIPRONIL,BEFORE,F,A,167
FIPRONIL,BEFORE,M,J,50
FIPRONIL,BEFORE,F,J,55
FIPRONIL,BEFORE,F,A,133
FIPRONIL,BEFORE,M,A,218
FIPRONIL,BEFORE,F,A,183
FIPRONIL,BEFORE,F,J,51
FIPRONIL,BEFORE,F,J,75
FIPRONIL,BEFORE,M,J,65
FIPRONIL,BEFORE,M,J,71
FIPRONIL,BEFORE,M,J,70
FIPRONIL,BEFORE,F,J,81
FIPRONIL,BEFORE,M,J,83
FIPRONIL,BEFORE,F,J,66
FIPRONIL,BEFORE,M,J,98
FIPRONIL,BEFORE,M,J,75
FIPRONIL,BEFORE,F,A,148
FIPRONIL,BEFORE,F,A,132
NONE,BEFORE,F,A,191
NONE,BEFORE,F,A,215
NONE,BEFORE,M,A,225
NONE,BEFORE,F,A,182
NONE,BEFORE,F,A,194
NONE,BEFORE,F,A,173
NONE,BEFORE,F,A,130
NONE,BEFORE,F,A,148
NONE,BEFORE,M,A,186
NONE,BEFORE,F,A,156
NONE,BEFORE,M,A,133
NONE,BEFORE,M,A,236
NONE,BEFORE,F,A,179
NONE,BEFORE,M,A,198
NONE,BEFORE,M,A,208
NONE,BEFORE,M,A,153
NONE,BEFORE,F,A,176
NONE,BEFORE,M,A,208
NONE,BEFORE,F,A,182
NONE,BEFORE,F,A,162
NONE,BEFORE,M,A,184
NONE,BEFORE,F,A,190
NONE,BEFORE,F,A,219
NONE,BEFORE,F,A,228
NONE,BEFORE,F,A,124
NONE,BEFORE,F,A,200
FIPRONIL,BEFORE,F,A,132
FIPRONIL,BEFORE,M,J,72
FIPRONIL,BEFORE,M,J,115
FIPRONIL,BEFORE,M,J,67
FIPRONIL,BEFORE,M,A,180
FIPRONIL,BEFORE,F,A,154
FIPRONIL,BEFORE,M,J,83
FIPRONIL,BEFORE,M,J,56
FIPRONIL,BEFORE,F,J,57
FIPRONIL,BEFORE,M,J,69
FIPRONIL,BEFORE,M,A,198
FIPRONIL,BEFORE,M,J,83
FIPRONIL,BEFORE,F,J,64
FIPRONIL,BEFORE,M,A,197
FIPRONIL,BEFORE,F,A,162
FIPRONIL,BEFORE,M,J,93
FIPRONIL,BEFORE,M,A,185
FIPRONIL,BEFORE,M,J,57
FIPRONIL,BEFORE,F,A,144
FIPRONIL,BEFORE,F,A,150
FIPRONIL,BEFORE,F,A,168
NONE,BEFORE,F,A,146
NONE,BEFORE,F,A,173
NONE,BEFORE,M,A,163
NONE,BEFORE,M,A,162
NONE,BEFORE,M,A,182
NONE,BEFORE,F,A,179
NONE,BEFORE,F,A,137
NONE,BEFORE,M,A,207
NONE,BEFORE,M,A,244
NONE,BEFORE,M,A,195
NONE,BEFORE,M,A,162
NONE,BEFORE,M,A,212
NONE,BEFORE,F,A,212
NONE,BEFORE,M,A,198
NONE,BEFORE,M,A,192
NONE,BEFORE,M,A,165
NONE,BEFORE,M,A,146
NONE,BEFORE,F,A,173
NONE,BEFORE,F,A,170
NONE,BEFORE,F,A,220
NONE,BEFORE,M,A,168
NONE,BEFORE,F,A,157
NONE,BEFORE,F,A,169
NONE,BEFORE,F,A,152
NONE,BEFORE,F,A,193
NONE,BEFORE,F,A,174
NONE,BEFORE,F,A,163
NONE,BEFORE,M,A,149
NONE,BEFORE,F,A,155
NONE,BEFORE,M,A,187
NONE,BEFORE,M,A,211
NONE,BEFORE,M,A,177
NONE,BEFORE,M,A,156
NONE,BEFORE,M,A,173
NONE,BEFORE,F,A,191
NONE,BEFORE,M,A,156
NONE,BEFORE,F,A,140
NONE,BEFORE,F,A,166
NONE,BEFORE,F,A,153
NONE,BEFORE,F,A,180
NONE,BEFORE,F,A,131
NONE,BEFORE,F,A,185
NONE,BEFORE,F,A,145
NONE,BEFORE,M,A,160
NONE,BEFORE,M,A,178
NONE,BEFORE,M,A,200
NONE,BEFORE,M,A,169
NONE,BEFORE,M,A,131
NONE,BEFORE,F,A,140
NONE,BEFORE,F,A,168
NONE,BEFORE,M,A,142
NONE,BEFORE,F,A,124
NONE,BEFORE,M,A,193
NONE,BEFORE,M,A,181
NONE,BEFORE,F,A,170
FIPRONIL,BEFORE,F,J,66
FIPRONIL,BEFORE,M,J,80
FIPRONIL,BEFORE,M,J,104
FIPRONIL,BEFORE,F,J,65
FIPRONIL,BEFORE,F,A,144
FIPRONIL,BEFORE,F,A,167
FIPRONIL,BEFORE,F,A,163
FIPRONIL,BEFORE,M,A,211
FIPRONIL,BEFORE,M,J,69
FIPRONIL,BEFORE,F,A,159
FIPRONIL,BEFORE,F,A,133
FIPRONIL,BEFORE,M,J,85
FIPRONIL,BEFORE,M,J,81
FIPRONIL,BEFORE,M,A,179
FIPRONIL,BEFORE,F,A,144
FIPRONIL,BEFORE,F,J,80
FIPRONIL,BEFORE,F,J,80
FIPRONIL,BEFORE,F,A,124
FIPRONIL,BEFORE,M,J,88
FIPRONIL,BEFORE,F,J,79
FIPRONIL,BEFORE,F,A,175
FIPRONIL,BEFORE,M,A,152
FIPRONIL,BEFORE,F,A,164
FIPRONIL,BEFORE,F,J,74
FIPRONIL,BEFORE,M,A,183
FIPRONIL,BEFORE,F,A,154
FIPRONIL,BEFORE,F,A,172
FIPRONIL,BEFORE,F,A,176
FIPRONIL,BEFORE,F,A,157
FIPRONIL,BEFORE,F,J,80
FIPRONIL,BEFORE,M,J,94
FIPRONIL,BEFORE,F,J,85
FIPRONIL,BEFORE,F,A,128
FIPRONIL,BEFORE,F,A,86
FIPRONIL,BEFORE,M,A,182
FIPRONIL,BEFORE,M,J,74
FIPRONIL,BEFORE,M,J,75
FIPRONIL,BEFORE,F,J,80
FIPRONIL,BEFORE,M,J,68
FIPRONIL,BEFORE,F,A,155
FIPRONIL,BEFORE,F,A,123
FIPRONIL,BEFORE,M,A,83
FIPRONIL,BEFORE,M,J,87
FIPRONIL,BEFORE,F,A,150
FIPRONIL,BEFORE,M,J,59
FIPRONIL,BEFORE,M,J,102
FIPRONIL,BEFORE,F,A,211
FIPRONIL,BEFORE,M,A,203
FIPRONIL,BEFORE,M,A,172
FIPRONIL,BEFORE,M,J,80
FIPRONIL,BEFORE,F,A,158
FIPRONIL,BEFORE,M,J,116
FIPRONIL,BEFORE,M,A,140
FIPRONIL,BEFORE,F,J,62
FIPRONIL,BEFORE,F,A,210
FIPRONIL,BEFORE,M,A,182
FIPRONIL,BEFORE,M,J,72
FIPRONIL,BEFORE,M,J,87
FIPRONIL,BEFORE,M,A,155
FIPRONIL,BEFORE,M,J,113
FIPRONIL,BEFORE,F,A,186
FIPRONIL,BEFORE,M,A,177
FIPRONIL,BEFORE,F,A,146
FIPRONIL,BEFORE,F,A,140
FIPRONIL,BEFORE,F,J,68
FIPRONIL,BEFORE,F,A,147
FIPRONIL,BEFORE,F,J,87
FIPRONIL,BEFORE,M,J,113
FIPRONIL,BEFORE,F,J,81
FIPRONIL,BEFORE,M,J,110
FIPRONIL,BEFORE,M,J,95
FIPRONIL,BEFORE,F,A,137
FIPRONIL,BEFORE,M,J,105
FIPRONIL,BEFORE,F,A,168
FIPRONIL,BEFORE,M,A,179
FIPRONIL,BEFORE,F,A,172
FIPRONIL,BEFORE,F,J,93
NONE,BEFORE,F,A,218
NONE,BEFORE,F,A,193
NONE,BEFORE,F,A,226
NONE,BEFORE,F,A,202
