Duckling ID,Pair ID,Nest ID,Incubation Temperature (°C),Sex,Lay Day of Year,Age (hours),Tarsus length (mm),Hatch Mass (g),First in Pair to Exit?,Latency to Move (s),Latency to Jump (s),Latency to Climb (s),Latency to Call (s),Latency to Exit (s),Exited? ,Number of jumps per minute Before first duck exited,Number of climbs per minute Before first duck exited,Number of jumps per minute After first duck exited,Number of climbs per minute After first duck exited,Total number of jumps per minute,Total number of climbs per minute
A1-4,20,A1,35.0,F,66,10.68,19.63,28.22,N,12,33,275,8,469,Y,1.2121,0.2020,5.9302,0.3488,2.9424,0.2559
A1-5,23,A1,35.0,F,67,22.12,19.72,30.09,N,4,70,210,8,685,Y,5.0167,0.8027,15.8549,0.7772,11.1241,0.7883
A1-6,33,A1,35.0,M,68,13.50,20.49,30.46,N,6,371,570,20,1800,N,3.8581,0.8426,0.1387,0.0447,4.9667,1.3000
A1-9,37,A1,36.0,M,71,17.23,20.20,31.42,Y,533,875,1101,964,1800,N,3.9667,0.4000,NA,NA,3.9667,0.4000
A1-10,34,A1,35.0,F,72,24.50,20.96,33.48,Y,19,68,467,16,523,Y,3.3270,0.2294,NA,NA,3.3270,0.2294
A2-6,18,A2,36.0,F,63,16.87,19.07,27.11,Y,165,241,241,300,691,Y,4.6020,1.1288,NA,NA,4.6020,1.1288
A2-7,10,A2,36.0,F,63,10.15,18.76,25.01,N,0,142,416,8,1800,N,2.0583,0.1544,0.1088,0.0000,3.6333,0.1000
A2-8,16,A2,35.0,M,64,10.83,19.56,30.16,Y,6,1800,1800,1800,1800,N,0.0000,0.0000,NA,NA,0.0000,0.0000
A2-10,18,A2,35.0,M,65,16.43,19.77,27.69,N,196,353,485,269,964,Y,3.3864,0.6078,15.3846,1.5385,6.7842,0.8714
A2-12,20,A2,36.0,F,66,13.07,19.22,32.51,Y,13,52,217,292,297,Y,5.6566,1.2121,NA,NA,5.6566,1.2121
C14-7,28,C14,35.0,M,65,11.60,18.91,24.71,N,828,839,1800,843,1800,N,0.0333,0.0000,NA,NA,0.0333,0.0000
C14-8,29,C14,36.0,M,66,10.02,19.22,26.20,N,51,685,862,475,878,Y,0.0000,0.0000,3.5424,0.1107,2.1868,0.0683
C18-1,55,C18,36.0,F,75,16.53,18.84,22.35,Y,6,351,1800,61,1800,N,1.2667,0.0000,NA,NA,1.2667,0.0000
C2-1,26,C2,35.0,F,66,14.53,21.58,31.45,N,111,116,1800,132,1800,N,0.2892,0.0000,0.1206,0.0000,5.6333,0.0000
C2-2,27,C2,36.0,F,67,11.08,21.02,29.52,Y,47,47,895,48,944,Y,12.7119,0.1907,NA,NA,12.7119,0.1907
C2-3,41,C2,35.0,F,69,9.60,20.91,29.99,Y,23,290,1633,39,1664,Y,2.4880,0.0721,NA,NA,2.4880,0.0721
C2-7,60,C2,36.0,F,75,19.37,20.04,30.48,Y,100,380,1800,111,1800,N,0.4667,0.0000,NA,NA,0.4667,0.0000
C7-13,54,C7,36.0,F,73,24.42,20.99,30.45,Y,64,173,173,70,269,Y,2.2305,0.8922,NA,NA,2.2305,0.8922
C7-5,25,C7,36.0,F,68,17.22,21.09,33.15,Y,155,299,398,195,416,Y,3.1731,0.1442,NA,NA,3.1731,0.1442
C7-6,47,C7,35.0,F,69,21.88,21.54,33.28,N,1737,1800,1800,1800,1800,N,0.0000,0.0000,NA,NA,0.0000,0.0000
C7-7,49,C7,35.0,F,70,17.17,19.77,33.80,N,1800,1800,1800,1800,1800,N,0.0000,0.0000,NA,NA,0.0000,0.0000
H1-19,5,H1,35.0,F,61,15.40,20.59,30.14,Y,8,58,233,66,498,Y,5.6627,1.2048,NA,NA,5.6627,1.2048
H2-1,46,H2,35.0,M,72,12.03,19.09,24.83,N,112,161,293,115,1296,Y,0.0000,0.0000,13.3333,0.3077,12.0370,0.2778
H2-3,54,H2,35.0,M,74,20.92,19.47,25.40,N,64,354,1580,243,1800,N,0.0000,0.0000,0.0993,0.0013,5.0667,0.0667
H2-4,58,H2,36.0,M,75,10.82,19.80,27.09,N,281,471,485,420,742,Y,0.0000,0.0000,6.1789,0.9756,3.0728,0.4852
H2-5,55,H2,35.0,F,76,12.75,19.34,24.88,N,89,777,1161,19,1800,N,2.0667,0.1667,NA,NA,2.0667,0.1667
N4-3,42,N4,35.0,F,71,12.22,19.53,28.42,N,44,202,1330,174,1589,Y,3.6399,0.0783,6.4286,4.2857,3.7382,0.2266
