Year,Rain,SOI,Phase,RainRecorded,SOIPositive
1889,15.4,2.1,Phase 5,Rainfall recorded,Positive SOI
1890,47.5,-2.8,Phase 5,Rainfall recorded,Non-positive SOI
1891,45.7,-8.2,Phase 5,Rainfall recorded,Non-positive SOI
1892,0,5.7,Phase 2,No rainfall recorded,Positive SOI
1893,108.7,10.6,Phase 2,Rainfall recorded,Positive SOI
1894,20.3,5.5,Phase 5,Rainfall recorded,Positive SOI
1895,0.3,-0.9,Phase 5,Rainfall recorded,Non-positive SOI
1896,44.5,-21,Phase 1,Rainfall recorded,Non-positive SOI
1897,64.6,0.9,Phase 5,Rainfall recorded,Positive SOI
1898,18.3,2.1,Phase 5,Rainfall recorded,Positive SOI
1899,52.8,-9.5,Phase 5,Rainfall recorded,Non-positive SOI
1900,13.3,7.5,Phase 2,Rainfall recorded,Positive SOI
1901,44.2,9.4,Phase 4,Rainfall recorded,Positive SOI
1902,0,-8.2,Phase 3,No rainfall recorded,Non-positive SOI
1903,6.1,0.3,Phase 5,Rainfall recorded,Positive SOI
1904,2.3,0.9,Phase 4,Rainfall recorded,Positive SOI
1905,7.6,-7,Phase 1,Rainfall recorded,Non-positive SOI
1906,41.1,14.8,Phase 4,Rainfall recorded,Positive SOI
1907,2.5,-4.2,Phase 5,Rainfall recorded,Non-positive SOI
1908,8.6,2.2,Phase 4,Rainfall recorded,Positive SOI
1909,69.2,9.4,Phase 2,Rainfall recorded,Positive SOI
1910,0,9.4,Phase 2,No rainfall recorded,Positive SOI
1911,15.5,-11.3,Phase 1,Rainfall recorded,Non-positive SOI
1912,0,-7,Phase 5,No rainfall recorded,Non-positive SOI
1913,0,-7,Phase 5,No rainfall recorded,Non-positive SOI
1914,4.6,-16.1,Phase 1,Rainfall recorded,Non-positive SOI
1915,36.9,7.4,Phase 2,Rainfall recorded,Positive SOI
1916,35.7,15.4,Phase 2,Rainfall recorded,Positive SOI
1917,91.2,33.1,Phase 2,Rainfall recorded,Positive SOI
1918,6.7,-4,Phase 1,Rainfall recorded,Non-positive SOI
1919,30.4,-6.4,Phase 1,Rainfall recorded,Non-positive SOI
1920,55.9,5.1,Phase 2,Rainfall recorded,Positive SOI
1921,21.5,-6.4,Phase 3,Rainfall recorded,Non-positive SOI
1922,0,-1,Phase 5,No rainfall recorded,Non-positive SOI
1923,20.3,-17.4,Phase 1,Rainfall recorded,Non-positive SOI
1924,19,10,Phase 2,Rainfall recorded,Positive SOI
1925,35.3,-10.1,Phase 1,Rainfall recorded,Non-positive SOI
1926,0,-7,Phase 5,No rainfall recorded,Non-positive SOI
1927,4.6,-1.6,Phase 5,Rainfall recorded,Non-positive SOI
1928,0,9.4,Phase 4,No rainfall recorded,Positive SOI
1929,1,0.3,Phase 5,Rainfall recorded,Positive SOI
1930,5.1,-1.6,Phase 5,Rainfall recorded,Non-positive SOI
1931,4.1,4.3,Phase 5,Rainfall recorded,Positive SOI
1932,0,4.9,Phase 5,No rainfall recorded,Positive SOI
1933,29.1,-0.3,Phase 5,Rainfall recorded,Non-positive SOI
1934,0,-21,Phase 3,No rainfall recorded,Non-positive SOI
1935,22.9,2.1,Phase 5,Rainfall recorded,Positive SOI
1936,0,-8.2,Phase 3,No rainfall recorded,Non-positive SOI
1937,10.5,3.3,Phase 4,Rainfall recorded,Positive SOI
1938,26.4,12.4,Phase 2,Rainfall recorded,Positive SOI
1939,29.7,-0.3,Phase 5,Rainfall recorded,Non-positive SOI
1940,40.4,-17.4,Phase 1,Rainfall recorded,Non-positive SOI
1941,0,-18,Phase 1,No rainfall recorded,Non-positive SOI
1942,3.1,3.9,Phase 4,Rainfall recorded,Positive SOI
1943,15.6,7.5,Phase 4,Rainfall recorded,Positive SOI
1944,21.4,3.3,Phase 4,Rainfall recorded,Positive SOI
1945,0,11.2,Phase 4,No rainfall recorded,Positive SOI
1946,2,-4,Phase 1,Rainfall recorded,Non-positive SOI
1947,68.6,6.9,Phase 2,Rainfall recorded,Positive SOI
1948,0,-4,Phase 5,No rainfall recorded,Non-positive SOI
1949,5.1,-4,Phase 5,Rainfall recorded,Non-positive SOI
1950,14.5,11.8,Phase 2,Rainfall recorded,Positive SOI
1951,12.7,-5.2,Phase 1,Rainfall recorded,Non-positive SOI
1952,8.4,-2.2,Phase 5,Rainfall recorded,Non-positive SOI
1953,43.5,-16.1,Phase 3,Rainfall recorded,Non-positive SOI
1954,36.4,9.4,Phase 4,Rainfall recorded,Positive SOI
1955,1.8,13.6,Phase 2,Rainfall recorded,Positive SOI
1956,3.8,10.6,Phase 2,Rainfall recorded,Positive SOI
1957,60.5,-8.2,Phase 3,Rainfall recorded,Non-positive SOI
1958,0,7.5,Phase 2,No rainfall recorded,Positive SOI
1959,1,-4,Phase 5,Rainfall recorded,Non-positive SOI
1960,7.7,6.3,Phase 2,Rainfall recorded,Positive SOI
