SD temperatures,SD fertilization,SD speeds,SD motility,SU temperatures,SU fertilization,SU speeds,SU motility,multiple stressors temperatures,multiple stressors pH,multiple stressors fertilization,multiple stressors speeds,multiple stressors motility,Argyle_datetime_2020,Argyle_temps_2020,Argyle_datetime_2021,Argyle_temps_2021,Deadman_datetime_2020,Deadman_temps_2020,Deadman_datetime_2021,Deadman_temps_2021
8,92,178,66,8,28,71,66,8,7.1,47,224,68,15/6/2020 0:00,12.001,17/6/2021 17:00,29.57,2020-06-15 0:08:23,11.50,2021-06-15 00:08:59,9.68
8,56,232,60,8,20,65,94,8,7.1,67,251,57,15/6/2020 0:30,11.856,17/6/2021 17:15,29.39,2020-06-15 0:23:23,11.34,2021-06-15 00:23:59,9.73
8,70,201,57,8,44,95,88,8,7.1,55,241,62,15/6/2020 1:00,12.098,17/6/2021 17:30,29.26,2020-06-15 0:38:23,11.32,2021-06-15 00:38:59,9.76
10,88,228,93,10,57,111,79,8,7.5,51,199,74,15/6/2020 1:30,13.305,17/6/2021 17:45,28.97,2020-06-15 0:53:23,11.17,2021-06-15 00:53:59,9.84
10,64,299,77,10,55,76,89,8,7.5,59,250,58,15/6/2020 2:00,14.242,17/6/2021 18:00,28.52,2020-06-15 1:08:23,11.09,2021-06-15 01:08:59,9.95
10,70,182,63,10,70,96,63,8,7.5,83,234,55,15/6/2020 2:30,14.697,17/6/2021 18:15,28.02,2020-06-15 1:23:23,11.00,2021-06-15 01:23:59,9.88
12,74,253,63,12,86,130,71,8,7.9,77,215,55,15/6/2020 3:00,15.294,17/6/2021 18:30,27.45,2020-06-15 1:38:23,10.86,2021-06-15 01:38:59,9.93
12,98,258,68,12,90,143,68,8,7.9,75,247,41,15/6/2020 3:30,15.103,17/6/2021 18:45,26.95,2020-06-15 1:53:23,10.81,2021-06-15 01:53:59,9.99
12,92,251,75,12,88,128,87,8,7.9,80,225,62,15/6/2020 4:00,15.175,17/6/2021 19:00,25.88,2020-06-15 2:08:23,10.68,2021-06-15 02:08:59,9.84
14,80,243,50,14,84,129,49,16,7.1,63,259,58,15/6/2020 4:30,15.39,17/6/2021 19:15,24.99,2020-06-15 2:23:23,10.56,2021-06-15 02:23:59,9.90
14,98,291,65,14,78,144,77,16,7.1,71,227,56,15/6/2020 5:00,15.39,17/6/2021 19:30,24.94,2020-06-15 2:38:23,10.56,2021-06-15 02:38:59,9.93
14,92,277,84,14,74,161,96,16,7.1,63,216,45,15/6/2020 5:30,15.294,17/6/2021 19:45,24.49,2020-06-15 2:53:23,10.51,2021-06-15 02:53:59,10.06
16,100,283,75,16,82,141,87,16,7.5,69,281,64,15/6/2020 6:00,15.223,17/6/2021 20:00,23.1,2020-06-15 3:08:23,10.55,2021-06-15 03:08:59,10.18
16,88,284,68,16,82,159,80,16,7.5,73,217,58,15/6/2020 6:30,15.175,17/6/2021 20:15,22.18,2020-06-15 3:23:23,10.59,2021-06-15 03:23:59,10.26
16,80,290,100,16,88,184,92,16,7.5,73,159,55,15/6/2020 7:00,15.199,17/6/2021 20:30,21.88,2020-06-15 3:38:23,10.59,2021-06-15 03:38:59,10.34
18,82,212,76,22,84,137,67,16,7.9,90,177,55,15/6/2020 7:30,15.103,17/6/2021 20:45,21.08,2020-06-15 3:53:23,10.60,2021-06-15 03:53:59,10.45
18,92,206,66,22,56,153,28,16,7.9,90,233,41,15/6/2020 8:00,15.247,17/6/2021 21:00,20.39,2020-06-15 4:08:23,10.62,2021-06-15 04:08:59,10.54
18,94,222,56,22,54,137,61,16,7.9,91,253,62,15/6/2020 8:30,15.509,17/6/2021 21:15,18.09,2020-06-15 4:23:23,10.63,2021-06-15 04:23:59,10.59
20,88,184,68,28,2,93,29,24,7.1,13,282,28,15/6/2020 9:00,15.414,17/6/2021 21:30,15.91,2020-06-15 4:38:23,10.59,2021-06-15 04:38:59,10.64
20,91,177,45,28,3,140,23,24,7.1,20,282,38,15/6/2020 9:30,15.366,17/6/2021 21:45,14.63,2020-06-15 4:53:23,10.59,2021-06-15 04:53:59,10.67
20,91,169,58,28,11,122,17,24,7.1,55,289,32,15/6/2020 10:00,15.557,17/6/2021 22:00,13.58,2020-06-15 5:08:23,10.60,2021-06-15 05:08:59,10.72
