ID,Jump_shoes_1,Jump_shoes_2,Jump_shoes_3,Jump_no_shoes_1,Jump_no_shoes_2,Jump_no_shoes_3
LESS1,40.7,40.7,46.8,41.8,39.4,45.5
LESS2,41.8,41.8,39.4,39.4,39.4,39.6
LESS3,28.6,24.8,28.7,30.7,26.7,33.8
LESS4,48.1,46.8,45.5,38.3,40.7,30.8
LESS5,46.8,49.3,50.5,47.9,52.0,49.3
LESS6,26.7,26.7,25.8,24.8,24.9,27.8
LESS7,45.5,43.0,47.9,45.5,41.8,46.7
LESS8,24.1,22.3,24.8,23.1,24.8,19.6
LESS10,43.0,37.2,39.4,40.7,44.3,43.0
LESS12,26.9,26.7,25.7,27.8,27.8,27.7
LESS13,43.0,47.9,37.2,39.6,39.4,45.5
LESS14,27.7,27.7,27.8,27.7,26.7,28.7
LESS15,29.7,28.7,26.7,26.9,28.7,25.7
LESS16,37.1,33.9,38.3,36.0,38.3,36.2
LESS17,24.8,20.4,24.8,23.0,22.1,21.3
LESS18,29.8,26.7,31.8,26.7,26.7,28.7
LESS19,34.8,36.0,30.8,38.3,35.0,32.8
LESS20,26.9,27.8,24.0,30.8,30.8,30.7
LESS21,25.8,28.7,28.7,26.7,30.8,32.8
LESS24,17.2,20.5,29.7,19.6,27.8,24.1
LESS25,40.5,39.4,41.8,37.2,38.3,39.4
LESS26,37.2,32.8,37.1,32.8,36.2,36.0
LESS27,35.0,37.1,39.4,41.8,35.0,41.8
LESS28,39.4,36.0,31.8,33.9,37.2,35.0
LESS29,32.8,32.8,35.0,31.8,37.2,41.8
LESS30,21.3,12.3,18.9,23.1,24.0,22.3
LESS31,18.8,19.6,19.7,19.6,24.0,19.6
LESS32,28.7,35.0,33.8,33.8,32.8,24.9
LESS33,26.7,27.7,18.1,21.3,25.8,22.1
LESS34,22.3,22.3,24.0,23.1,23.1,22.1
LESS35,23.0,22.3,22.1,18.0,20.5,21.3
LESS36,41.8,40.5,45.5,43.0,40.5,41.8
LESS39,26.9,26.9,27.8,27.8,28.7,28.7
LESS40,39.4,43.0,45.5,33.8,40.7,40.7
LESS41,41.8,40.5,46.7,46.7,48.1,49.3
LESS42,43.1,43.0,43.0,44.3,41.8,44.3
LESS43,38.3,37.2,37.2,30.7,36.0,36.0
LESS44,37.1,41.8,40.7,44.1,44.3,43.1
LESS45,20.4,24.0,23.1,23.1,24.0,24.9
LESS46,28.7,26.7,30.8,22.1,30.8,28.7
LESS47,32.8,32.8,35.0,33.8,36.0,37.1
LESS49,11.0,13.7,13.7,15.0,13.6,15.0
LESS50,25.8,29.7,28.7,29.7,25.8,27.8
LESS51,30.8,37.2,38.3,37.2,25.8,44.3
LESS52,21.3,20.5,16.5,13.6,24.8,25.7
LESS53,24.9,28.7,28.6,29.7,32.9,31.8
LESS54,38.3,32.8,40.7,39.4,37.1,41.8
LESS55,8.7,11.1,5.8,13.0,7.7,13.7
LESS57,32.8,31.6,26.9,28.6,32.8,28.7
LESS58,39.4,33.9,37.2,43.1,41.8,35.0
LESS59,50.5,50.5,53.3,53.3,50.7,51.8
LESS60,41.8,33.9,35.0,37.1,38.3,37.1
LESS61,30.8,35.0,37.2,38.3,41.8,35.0
LESS62,37.1,39.4,30.8,37.2,38.3,36.0
LESS63,41.8,39.6,43.1,39.4,41.8,41.8
LESS64,46.8,45.5,43.0,44.3,43.1,37.1
LESS65,18.0,25.8,26.7,27.8,23.0,24.0
LESS66,18.8,15.8,17.2,20.5,13.7,15.0
LESS67,44.3,40.7,43.0,46.7,39.4,41.8
LESS69,21.3,23.0,18.8,18.1,18.1,21.3
LESS71,20.5,23.0,19.6,24.0,24.0,19.6
LESS72,28.7,28.7,29.7,31.8,35.0,35.0
LESS73,39.4,36.0,35.0,32.8,43.0,41.8
LESS75,21.3,28.7,22.3,27.7,29.7,27.7
LESS100,28.6,27.8,27.8,29.7,27.8,30.8
LESS101,38.3,38.3,37.2,41.8,38.3,43.0
LESS102,39.6,39.6,40.7,44.3,39.4,40.7
LESS103,37.1,32.8,38.3,43.0,36.0,37.2
LESS104,26.7,26.7,24.8,26.7,25.8,23.1
LESS105,32.8,32.8,31.6,32.8,29.7,30.7
LESS106,30.8,30.8,31.8,32.9,35.0,33.8
LESS107,19.6,19.6,22.3,24.0,23.1,24.0
LESS108,26.7,25.7,24.9,26.9,23.1,25.8
LESS109,28.7,24.9,24.8,23.1,24.9,22.1
LESS110,40.5,43.0,48.1,44.3,46.7,46.7
LESS111,25.8,24.9,24.0,23.0,24.9,26.7
LESS112,33.8,32.8,31.6,32.8,35.0,33.9
LESS113,57.5,53.3,58.7,56.0,53.3,56.0
LESS114,31.8,33.9,35.0,31.6,30.7,33.9
LESS115,27.8,25.8,29.7,31.8,33.9,35.0
