"","Col","Spine","Width","Sat","Wt"
"1","M","NoneOK",28.3,8,3050
"2","DM","NoneOK",22.5,0,1550
"3","LM","BothOK",26,9,2300
"4","DM","NoneOK",24.8,0,2100
"5","DM","NoneOK",26,4,2600
"6","M","NoneOK",23.8,0,2100
"7","LM","BothOK",26.5,0,2350
"8","DM","OneOK",24.7,0,1900
"9","M","BothOK",23.7,0,1950
"10","DM","NoneOK",25.6,0,2150
"11","DM","NoneOK",24.3,0,2150
"12","M","NoneOK",25.8,0,2650
"13","M","NoneOK",28.2,11,3050
"14","D","OneOK",21,0,1850
"15","M","BothOK",26,14,2300
"16","LM","BothOK",27.1,8,2950
"17","M","NoneOK",25.2,1,2000
"18","M","NoneOK",29,1,3000
"19","D","NoneOK",24.7,0,2200
"20","M","NoneOK",27.4,5,2700
"21","M","OneOK",23.2,4,1950
"22","LM","OneOK",25,3,2300
"23","M","BothOK",22.5,1,1600
"24","DM","NoneOK",26.7,2,2600
"25","D","NoneOK",25.8,3,2000
"26","D","NoneOK",26.2,0,1300
"27","M","NoneOK",28.7,3,3150
"28","M","BothOK",26.8,5,2700
"29","D","NoneOK",27.5,0,2600
"30","M","NoneOK",24.9,0,2100
"31","LM","BothOK",29.3,4,3200
"32","LM","NoneOK",25.8,0,2600
"33","M","OneOK",25.7,0,2000
"34","M","BothOK",25.7,8,2000
"35","M","BothOK",26.7,5,2700
"36","D","NoneOK",23.7,0,1850
"37","M","NoneOK",26.8,0,2650
"38","M","NoneOK",27.5,6,3150
"39","D","NoneOK",23.4,0,1900
"40","M","NoneOK",27.9,6,2800
"41","DM","NoneOK",27.5,3,3100
"42","LM","BothOK",26.1,5,2800
"43","LM","BothOK",27.7,6,2500
"44","M","BothOK",30,5,3300
"45","DM","BothOK",28.5,9,3250
"46","DM","NoneOK",28.9,4,2800
"47","M","NoneOK",28.2,6,2600
"48","M","NoneOK",25,4,2100
"49","M","NoneOK",28.5,3,3000
"50","M","BothOK",30.3,3,3600
"51","D","NoneOK",24.7,5,2100
"52","M","NoneOK",27.7,5,2900
"53","LM","BothOK",27.4,6,2700
"54","M","NoneOK",22.9,4,1600
"55","M","BothOK",25.7,5,2000
"56","M","NoneOK",28.3,15,3000
"57","M","NoneOK",27.2,3,2700
"58","DM","NoneOK",26.2,3,2300
"59","M","BothOK",27.8,0,2750
"60","D","NoneOK",25.5,0,2250
"61","DM","NoneOK",27.1,0,2550
"62","DM","NoneOK",24.5,5,2050
"63","DM","BothOK",27,3,2450
"64","M","NoneOK",26,5,2150
"65","M","NoneOK",28,1,2800
"66","M","NoneOK",30,8,3050
"67","M","NoneOK",29,10,3200
"68","M","NoneOK",26.2,0,2400
"69","M","BothOK",26.5,0,1300
"70","M","NoneOK",26.2,3,2400
"71","DM","NoneOK",25.6,7,2800
"72","DM","NoneOK",23,1,1650
"73","DM","NoneOK",23,0,1800
"74","M","NoneOK",25.4,6,2250
"75","DM","NoneOK",24.2,0,1900
"76","M","OneOK",22.9,0,1600
"77","DM","OneOK",26,3,2200
"78","M","NoneOK",25.4,4,2250
"79","DM","NoneOK",25.7,0,1200
"80","M","NoneOK",25.1,5,2100
"81","DM","OneOK",24.5,0,2250
"82","D","NoneOK",27.5,0,2900
"83","DM","NoneOK",23.1,0,1650
"84","DM","BothOK",25.9,4,2550
"85","M","NoneOK",25.8,0,2300
"86","D","NoneOK",27,3,2250
"87","M","NoneOK",28.5,0,3050
"88","D","BothOK",25.5,0,2750
"89","D","NoneOK",23.5,0,1900
"90","M","OneOK",24,0,1700
"91","M","BothOK",29.7,5,3850
"92","M","BothOK",26.8,0,2550
"93","D","NoneOK",26.7,0,2450
"94","M","BothOK",28.7,0,3200
"95","DM","NoneOK",23.1,0,1550
"96","M","BothOK",29,1,2800
"97","DM","NoneOK",25.5,0,2250
"98","DM","NoneOK",26.5,1,1967
"99","DM","NoneOK",24.5,1,2200
"100","DM","NoneOK",28.5,1,3000
"101","M","NoneOK",28.2,1,2867
"102","M","NoneOK",24.5,1,1600
"103","M","NoneOK",27.5,1,2550
"104","M","OneOK",24.7,4,2550
"105","M","BothOK",25.2,1,2000
"106","DM","NoneOK",27.3,1,2900
"107","M","NoneOK",26.3,1,2400
"108","M","NoneOK",29,1,3100
"109","M","NoneOK",25.3,2,1900
"110","M","NoneOK",26.5,4,2300
"111","M","NoneOK",27.8,3,3250
"112","M","NoneOK",27,6,2500
"113","DM","NoneOK",25.7,0,2100
"114","M","NoneOK",25,2,2100
"115","M","NoneOK",31.9,2,3325
"116","D","NoneOK",23.7,0,1800
"117","D","NoneOK",29.3,12,3225
"118","DM","NoneOK",22,0,1400
"119","M","NoneOK",25,5,2400
"120","DM","NoneOK",27,6,2500
"121","DM","NoneOK",23.8,6,1800
"122","LM","BothOK",30.2,2,3275
"123","DM","NoneOK",26.2,0,2225
"124","M","NoneOK",24.2,2,1650
"125","M","NoneOK",27.4,3,2900
"126","M","OneOK",25.4,0,2300
"127","DM","NoneOK",28.4,3,3200
"128","D","NoneOK",22.5,4,1475
"129","M","NoneOK",26.2,2,2025
"130","M","BothOK",24.9,6,2300
"131","LM","OneOK",24.5,6,1950
"132","M","NoneOK",25.1,0,1800
"133","M","BothOK",28,4,2900
"134","D","NoneOK",25.8,10,2250
"135","M","NoneOK",27.9,7,3050
"136","M","NoneOK",24.9,0,2200
"137","M","BothOK",28.4,5,3100
"138","DM","NoneOK",27.2,5,2400
"139","M","OneOK",25,6,2250
"140","M","NoneOK",27.5,6,2625
"141","M","BothOK",33.5,7,5200
"142","M","NoneOK",30.5,3,3325
"143","DM","NoneOK",29,3,2925
"144","M","BothOK",24.3,0,2000
"145","M","NoneOK",25.8,0,2400
"146","D","NoneOK",25,8,2100
"147","M","BothOK",31.7,4,3725
"148","M","NoneOK",29.5,4,3025
"149","DM","NoneOK",24,10,1900
"150","M","NoneOK",30,9,3000
"151","M","NoneOK",27.6,4,2850
"152","M","NoneOK",26.2,0,2300
"153","M","BothOK",23.1,0,2000
"154","M","BothOK",22.9,0,1600
"155","D","NoneOK",24.5,0,1900
"156","M","NoneOK",24.7,4,1950
"157","M","NoneOK",28.3,0,3200
"158","M","NoneOK",23.9,2,1850
"159","DM","NoneOK",23.8,0,1800
"160","DM","OneOK",29.8,4,3500
"161","M","NoneOK",26.5,4,2350
"162","M","NoneOK",26,3,2275
"163","M","NoneOK",28.2,8,3050
"164","D","NoneOK",25.7,0,2150
"165","M","NoneOK",26.5,7,2750
"166","M","NoneOK",25.8,0,2200
"167","DM","NoneOK",24.1,0,1800
"168","DM","NoneOK",26.2,2,2175
"169","DM","NoneOK",26.1,3,2750
"170","DM","NoneOK",29,4,3275
"171","LM","BothOK",28,0,2625
"172","D","NoneOK",27,0,2625
"173","M","OneOK",24.5,0,2000
