,Vmax WR,Ftotmax WR,Mz WR,Pmax WR,PT WR,CT WR,Ror WR,,,,Vmax WOR,Ftotmax WOR,Mz WOR,Pmax WOR,PT WOR,CT WOR,Ror WOR
P01,2.64691829,255.72155,43.2822326,325.2927473,0.2625,0.541666667,2510.907965,,,P01,3.194426898,188.1977659,50.86384348,502.5105941,0.183333333,0.391666667,3602.474422
P01,2.884290503,209.7030938,35.73706629,286.4988733,0.225,0.545833333,3715.996377,,,P01,3.189051103,188.1537954,42.19007983,463.872025,0.175,0.4,3529.948156
P01,2.805651135,160.9771301,33.80852187,273.8979364,0.258333333,0.520833333,1358.119308,,,P01,3.533131386,245.9142997,28.51430971,327.8128773,0.216666667,0.416666667,4861.415781
P01,2.850831318,228.8181621,31.69428529,276.3804707,0.258333333,0.570833333,3251.518947,,,P01,3.792917435,285.8724455,32.94247309,379.6844222,0.145833333,0.354166667,5007.522062
P01,2.718815882,153.1247433,27.71090723,233.9423091,0.179166667,0.545833333,906.0837833,,,P01,3.53245574,202.8592246,36.87333967,429.8333444,0.170833333,0.395833333,3892.44735
P01,2.792784477,132.8737038,22.46574076,191.7676451,0.191666667,0.541666667,1834.12749,,,P01,3.697900985,217.3270579,29.39445282,358.1652406,0.166666667,0.4,4872.428212
P01,2.687794899,194.9832981,31.14345656,303.4193741,0.204166667,0.533333333,2242.344194,,,P01,3.915091933,346.0918021,29.156671,338.3923498,0.1875,0.4125,6432.887751
P02,3.051057665,155.4183638,37.38139219,316.9588601,0.2375,0.5875,1469.789039,,,P02,3.069843573,162.3276902,40.29187062,386.7675538,0.225,0.479166667,2033.858099
P02,3.051160481,205.1051692,34.01110564,304.3011879,0.245833333,0.604166667,2595.186061,,,P02,3.108751994,129.7359209,37.67091812,382.2198139,0.1875,0.516666667,1870.113537
P02,3.010107617,171.5266809,41.46247329,338.4024579,0.233333333,0.645833333,2454.942231,,,P02,3.272331868,193.9974907,38.17524801,369.4300678,0.1875,0.495833333,3064.458678
P02,3.230764925,168.6328973,29.62137856,266.8392553,0.1875,0.583333333,2647.509886,,,P02,3.451525049,175.0051859,37.02223539,382.5938153,0.220833333,0.520833333,2518.469051
P02,3.296567011,166.6720066,30.00202996,271.3932161,0.2125,0.591666667,1658.565373,,,P02,3.532969818,141.6304615,35.43419299,367.4392189,0.208333333,0.504166667,2126.798309
P02,3.309844932,119.1037967,29.90043006,275.78165,0.195833333,0.575,1070.080645,,,P02,3.573185468,140.0501257,35.32980065,380.8899289,0.208333333,0.508333333,2742.595029
P02,3.320684651,126.1031243,25.81874328,243.2834377,0.195833333,0.6125,1090.606228,,,P03,3.317174227,142.4392033,36.22093487,419.1701641,0.204166667,0.529166667,1717.53687
P02,3.127816974,137.7568234,26.95791417,255.7867021,0.175,0.541666667,1318.666108,,,P03,3.560568506,216.5132727,38.36527764,429.5996243,0.208333333,0.595833333,2404.701513
P03,3.104771556,241.752301,42.23469318,413.3425805,0.258333333,0.608333333,3734.872645,,,P03,3.445620487,231.2560694,33.62437046,362.7666205,0.2125,0.604166667,3682.742262
P03,3.034592456,270.487197,45.25463556,394.872818,0.2375,0.558333333,3075.915465,,,P03,3.400249361,117.0849085,23.46020509,282.5488694,0.1625,0.558333333,1620.667951
P03,3.227562949,240.2913203,38.86469679,341.9996544,0.2375,0.733333333,2142.678646,,,P03,3.475833632,193.3510584,30.46836182,336.2037132,0.195833333,0.641666667,3364.357689
P03,3.281232775,167.0142837,31.41806149,318.9011031,0.216666667,0.583333333,2382.323913,,,P04,3.233643766,252.7319843,39.18056873,413.2974129,0.1875,0.45,4349.745465
P03,3.147807295,185.7756846,28.22212376,289.4328494,0.183333333,0.5875,3423.129339,,,P04,3.420680321,148.716362,39.07713784,411.3934366,0.191666667,0.458333333,2224.805868
