"","Foliage","DBH","Age","Origin"
"1",0.1,4,38,"Natural"
"2",0.2,6,38,"Natural"
"3",0.4,8,46,"Natural"
"4",0.6,9.6,44,"Natural"
"5",0.6,11.3,60,"Natural"
"6",0.8,13.7,56,"Natural"
"7",1,15.4,72,"Natural"
"8",1.4,17.8,74,"Natural"
"9",1.7,18,68,"Natural"
"10",3.5,22,79,"Natural"
"11",3.8,22.6,78,"Natural"
"12",4.1,26.4,78,"Natural"
"13",6.6,28.6,75,"Natural"
"14",8,31.8,83,"Natural"
"15",11.8,38.6,84,"Natural"
"16",0.12,3.5,18,"Natural"
"17",0.36,4.9,13,"Natural"
"18",1.2,17,40,"Natural"
"19",5.63,27.5,74,"Natural"
"20",0.06,2,21,"Natural"
"21",0.36,4,21,"Natural"
"22",1.6,6,21,"Natural"
"23",3.5,8,21,"Natural"
"24",0.01,1.6,26,"Natural"
"25",0.61,9,26,"Natural"
"26",1.09,12,26,"Natural"
"27",4.6,24.6,85,"Natural"
"28",1.7,19.3,78,"Natural"
"29",1.9,12.7,40,"Natural"
"30",0.3,8,38,"Natural"
"31",0.04,4,25,"Natural"
"32",0.1,13.7,53,"Natural"
"33",0.2,16.4,76,"Natural"
"34",0.4,18.6,82,"Natural"
"35",0.6,19,76,"Natural"
"36",0.6,23,105,"Natural"
"37",0.8,24.8,127,"Natural"
"38",1,32.3,105,"Natural"
"39",1.4,27.8,104,"Natural"
"40",1.7,24.3,110,"Natural"
"41",3.5,30.4,118,"Natural"
"42",4.08,30.1,94,"Natural"
"43",2.87,23.2,85,"Natural"
"44",0.55,12.2,50,"Natural"
"45",1.67,16.5,70,"Natural"
"46",1.05,17.9,80,"Natural"
"47",2.58,24.3,90,"Natural"
"48",2.34,18.1,66,"Natural"
"49",1.98,22.7,80,"Natural"
"50",4.79,26.9,93,"Natural"
"51",3.95,27.5,109,"Natural"
"52",0.9,14.8,35,"Natural"
"53",0.27,8.35,28,"Natural"
"54",0.57,12.3,44,"Natural"
"55",0.52,14.8,48,"Natural"
"56",1.89,16.25,46,"Natural"
"57",0.13,8.6,36,"Natural"
"58",1.3,14.6,42,"Natural"
"59",0.61,10.2,41,"Natural"
"60",0.6,12,39,"Natural"
"61",0.63,10.75,40,"Natural"
"62",0.25,7.85,32,"Natural"
"63",0.21,6.35,23,"Natural"
"64",0.25,8.2,38,"Natural"
"65",5.07,21.85,61,"Natural"
"66",1.34,18.15,58,"Natural"
"67",2.31,17.15,47,"Natural"
"68",1.62,14.9,40,"Natural"
"69",1.34,15,44,"Natural"
"70",0.77,12.65,33,"Natural"
"71",0.7,12.5,32,"Natural"
"72",2.61,16.7,42,"Natural"
"73",2.56,16.3,39,"Natural"
"74",0.56,8.55,66,"Natural"
"75",0.04,6.9,28,"Natural"
"76",0.06,5.46,30,"Natural"
"77",0.31,9.15,34,"Natural"
"78",0.7,10.8,48,"Natural"
"79",1.07,13.2,44,"Natural"
"80",0.5,11.4,43,"Natural"
