"","Age","Length"
"1",12.3,8
"2",12.4,9
"3",12.7,11
"4",12.7,11
"5",12.9,10
"6",13.1,11
"7",13.3,9
"8",13.3,11
"9",13.6,12
"10",14,11
"11",14,11
"12",14,13
"13",14.3,16
"14",14.4,16
"15",14.6,13
"16",14.7,14
"17",14.7,15
"18",15,13
"19",15,15
"20",15.1,12
"21",15.1,13
"22",15.3,13
"23",15.3,14
"24",15.6,17
"25",15.9,17
"26",16.1,17
"27",16.1,18
"28",16.3,14
"29",16.3,15
"30",16.3,15
"31",16.4,15
"32",16.4,18
"33",16.4,19
"34",16.6,17
"35",16.6,19
"36",16.7,17
"37",16.7,18
"38",16.7,19
"39",16.9,19
"40",17,17
"41",17,21
"42",17.1,20
"43",17.1,21
"44",17.3,18
"45",17.4,18
"46",17.4,19
"47",17.4,19
"48",17.6,17
"49",17.6,23
"50",17.7,25
"51",17.9,19
"52",18,21
"53",18.1,21
"54",18.1,21
"55",18.1,24
"56",18.3,18
"57",18.3,20
"58",18.3,20
"59",18.4,19
"60",18.6,21
"61",18.6,23
"62",18.6,24
"63",19,19
"64",19,20
"65",19,23
"66",19.1,20
"67",19.3,19
"68",19.3,21
"69",19.3,22
"70",19.3,23
"71",19.4,21
"72",19.6,21
"73",19.6,24
"74",19.7,23
"75",19.9,23
"76",20,22
"77",20,23
"78",20,23
"79",20,23
"80",20.1,23
"81",20.1,25
"82",20.3,23
"83",20.3,24
"84",20.3,24
"85",20.3,28
"86",20.4,24
"87",20.4,26
"88",20.6,27
"89",20.6,31
"90",20.7,23
"91",20.7,23
"92",20.7,25
"93",20.7,25
"94",20.7,27
"95",21,24
"96",21,27
"97",21.1,24
"98",21.3,29
"99",21.4,26
"100",21.4,27
"101",21.4,31
"102",21.6,28
"103",21.6,29
"104",21.9,30
"105",22,25
"106",22.1,28
"107",22.3,31
"108",22.6,24
"109",22.7,28
"110",22.7,30
"111",22.9,25
"112",22.9,27
"113",22.9,28
"114",23,27
"115",23,30
"116",23,31
"117",23.1,29
"118",23.3,29
"119",23.3,29
"120",23.3,31
"121",23.4,33
"122",23.6,28
"123",23.6,30
"124",23.6,31
"125",23.7,28
"126",23.9,28
"127",23.9,28
"128",24,30
"129",24,34
"130",24.1,31
"131",24.3,29
"132",24.4,28
"133",24.4,36
"134",24.7,28
"135",24.7,33
"136",24.7,35
"137",24.7,35
"138",24.9,31
"139",25,28
"140",25,29
"141",25,32
"142",25.1,33
"143",25.3,37
"144",25.4,33
"145",25.9,28
"146",25.9,28
"147",26,31
"148",26,34
"149",26.6,26
"150",26.7,40
"151",26.9,37
"152",27,39
"153",27,41
"154",27.1,32
"155",27.6,40
"156",27.7,35
"157",27.7,40
"158",27.9,37
"159",28.4,38
"160",28.4,44
"161",29,41
"162",29.4,38
"163",29.7,45
"164",32,41
"165",32.1,32
"166",32.9,35
"167",33.6,42
