"","Day","Mach","Perm"
"1",1,"A",25.35
"2",1,"A",22.18
"3",1,"A",41.5
"4",1,"B",20.23
"5",1,"B",42.46
"6",1,"B",25.7
"7",1,"C",85.51
"8",1,"C",47.21
"9",1,"C",25.06
"10",2,"A",27.99
"11",2,"A",37.07
"12",2,"A",66.07
"13",2,"B",17.42
"14",2,"B",15.31
"15",2,"B",32.81
"16",2,"C",26.67
"17",2,"C",58.61
"18",2,"C",72.28
"19",3,"A",82.04
"20",3,"A",29.99
"21",3,"A",78.34
"22",3,"B",32.06
"23",3,"B",37.58
"24",3,"B",44.57
"25",3,"C",24.1
"26",3,"C",48.98
"27",3,"C",22.96
"28",4,"A",77.09
"29",4,"A",30.55
"30",4,"A",24.66
"31",4,"B",47.1
"32",4,"B",23.55
"33",4,"B",13
"34",4,"C",52.6
"35",4,"C",33.73
"36",4,"C",23.5
"37",5,"A",59.16
"38",5,"A",53.46
"39",5,"A",35.08
"40",5,"B",16.87
"41",5,"B",24.95
"42",5,"B",33.96
"43",5,"C",20.89
"44",5,"C",30.83
"45",5,"C",21.68
"46",6,"A",46.24
"47",6,"A",34.59
"48",6,"A",47.86
"49",6,"B",25.35
"50",6,"B",28.31
"51",6,"B",42.36
"52",6,"C",42.95
"53",6,"C",40.93
"54",6,"C",22.86
"55",7,"A",82.79
"56",7,"A",85.31
"57",7,"A",134.59
"58",7,"B",16.94
"59",7,"B",32.21
"60",7,"B",27.29
"61",7,"C",21.28
"62",7,"C",63.39
"63",7,"C",24.27
"64",8,"A",69.98
"65",8,"A",61.66
"66",8,"A",110.15
"67",8,"B",38.28
"68",8,"B",42.36
"69",8,"B",19.14
"70",8,"C",48.87
"71",8,"C",177.01
"72",8,"C",62.37
"73",9,"A",34.67
"74",9,"A",26.79
"75",9,"A",50.58
"76",9,"B",43.25
"77",9,"B",11.67
"78",9,"B",24.21
"79",9,"C",50.47
"80",9,"C",23.44
"81",9,"C",69.02
