"ID","Store","StoreNum","CrustDescription","Topping","Diameter","DiameterInches","filter_."
1,"Dominos",1,"ThinNCrispy","Supreme",29.4,11.5748031496063,0
2,"Dominos",1,"ThinNCrispy","BBQMeatlovers",29.63,11.6653543307087,0
3,"Dominos",1,"DeepPan","Hawaiian",27.06,10.6535433070866,0
4,"Dominos",1,"ThinNCrispy","Supreme",27.45,10.8070866141732,0
5,"Dominos",1,"ClassicCrust","Hawaiian",26.59,10.4685039370079,0
6,"Dominos",1,"DeepPan","BBQMeatlovers",27.16,10.6929133858268,0
7,"EagleBoys",2,"MidCrust","SuperSupremo",29.15,11.4763779527559,1
8,"EagleBoys",2,"DeepPan","Hawaiian",28.78,11.3307086614173,1
9,"EagleBoys",2,"ThinCrust","BBQMeatlovers",30.05,11.8307086614173,1
10,"EagleBoys",2,"DeepPan","BBQMeatlovers",29.38,11.5669291338583,1
11,"EagleBoys",2,"ThinCrust","SuperSupremo",29.14,11.4724409448819,1
12,"EagleBoys",2,"MidCrust","Hawaiian",29.24,11.511811023622,1
13,"EagleBoys",2,"MidCrust","BBQMeatlovers",28.97,11.4055118110236,1
14,"EagleBoys",2,"ThinCrust","Hawaiian",29.98,11.8031496062992,1
15,"EagleBoys",2,"MidCrust","Hawaiian",28.93,11.3897637795276,1
16,"EagleBoys",2,"ThinCrust","SuperSupremo",29.47,11.6023622047244,1
17,"EagleBoys",2,"ThinCrust","SuperSupremo",30,11.8110236220472,1
18,"EagleBoys",2,"ThinCrust","Hawaiian",30.01,11.8149606299213,1
19,"EagleBoys",2,"MidCrust","BBQMeatlovers",28.66,11.2834645669291,1
20,"EagleBoys",2,"ThinCrust","Hawaiian",30.44,11.9842519685039,1
21,"Dominos",1,"ThinNCrispy","Supreme",26.38,10.3858267716535,0
22,"Dominos",1,"ThinNCrispy","Hawaiian",28.86,11.3622047244094,0
23,"Dominos",1,"DeepPan","BBQMeatlovers",26.6,10.4724409448819,0
24,"Dominos",1,"ClassicCrust","Hawaiian",26.65,10.492125984252,0
25,"Dominos",1,"DeepPan","Supreme",26.5,10.4330708661417,0
26,"Dominos",1,"ClassicCrust","Supreme",26.55,10.4527559055118,0
27,"Dominos",1,"DeepPan","Supreme",26.64,10.488188976378,0
28,"Dominos",1,"ClassicCrust","BBQMeatlovers",26.15,10.2952755905512,0
29,"Dominos",1,"ThinNCrispy","Hawaiian",28.92,11.3858267716535,0
30,"Dominos",1,"DeepPan","Supreme",26.87,10.5787401574803,0
31,"Dominos",1,"ClassicCrust","BBQMeatlovers",26.56,10.4566929133858,0
32,"Dominos",1,"ClassicCrust","Hawaiian",26.65,10.492125984252,0
33,"Dominos",1,"DeepPan","Supreme",26.61,10.4763779527559,0
34,"Dominos",1,"ThinNCrispy","Hawaiian",28.75,11.3188976377953,0
35,"Dominos",1,"ThinNCrispy","Supreme",29.33,11.5472440944882,0
36,"Dominos",1,"ThinNCrispy","BBQMeatlovers",29,11.4173228346457,0
37,"Dominos",1,"DeepPan","Hawaiian",26.34,10.3700787401575,0
38,"Dominos",1,"ClassicCrust","BBQMeatlovers",27.2,10.7086614173228,0
39,"Dominos",1,"ClassicCrust","BBQMeatlovers",26.61,10.4763779527559,0
40,"EagleBoys",2,"DeepPan","SuperSupremo",28.73,11.3110236220472,1
41,"EagleBoys",2,"DeepPan","BBQMeatlovers",28.48,11.2125984251969,1
42,"EagleBoys",2,"DeepPan","SuperSupremo",29.01,11.4212598425197,1
43,"EagleBoys",2,"MidCrust","BBQMeatlovers",28.73,11.3110236220472,1
44,"EagleBoys",2,"MidCrust","Hawaiian",28.6,11.259842519685,1
45,"EagleBoys",2,"DeepPan","Hawaiian",29.59,11.6496062992126,1
46,"EagleBoys",2,"DeepPan","SuperSupremo",29.04,11.4330708661417,1
47,"EagleBoys",2,"MidCrust","BBQMeatlovers",29.03,11.4291338582677,1
48,"EagleBoys",2,"ThinCrust","BBQMeatlovers",29.75,11.7125984251969,1
49,"EagleBoys",2,"DeepPan","SuperSupremo",28.95,11.3976377952756,1
50,"EagleBoys",2,"DeepPan","BBQMeatlovers",29.38,11.5669291338583,1
51,"EagleBoys",2,"MidCrust","SuperSupremo",28.72,11.3070866141732,1
52,"EagleBoys",2,"DeepPan","SuperSupremo",28.6,11.259842519685,1
53,"EagleBoys",2,"ThinCrust","Hawaiian",29.9,11.7716535433071,1
54,"EagleBoys",2,"ThinCrust","Hawaiian",29.4,11.5748031496063,1
55,"EagleBoys",2,"MidCrust","BBQMeatlovers",28.99,11.4133858267717,1
56,"Dominos",1,"DeepPan","BBQMeatlovers",25.98,10.2283464566929,0
57,"Dominos",1,"ThinNCrispy","Hawaiian",29.04,11.4330708661417,0
58,"Dominos",1,"ThinNCrispy","Hawaiian",29.01,11.4212598425197,0
59,"Dominos",1,"DeepPan","Supreme",26.67,10.5,0
60,"Dominos",1,"ClassicCrust","BBQMeatlovers",26.97,10.6181102362205,0
61,"Dominos",1,"ThinNCrispy","Hawaiian",29.37,11.5629921259843,0
62,"Dominos",1,"DeepPan","Supreme",26.09,10.2716535433071,0
63,"Dominos",1,"ThinNCrispy","Supreme",29.32,11.5433070866142,0
64,"Dominos",1,"DeepPan","Supreme",27.12,10.6771653543307,0
65,"Dominos",1,"DeepPan","BBQMeatlovers",26.37,10.3818897637795,0
66,"EagleBoys",2,"ThinCrust","Hawaiian",30.35,11.9488188976378,1
67,"EagleBoys",2,"MidCrust","SuperSupremo",29.08,11.4488188976378,1
68,"EagleBoys",2,"DeepPan","Hawaiian",28.29,11.1377952755906,1
