id;sex;age;chest;height;body_mass;year_birth;cw;alive;y_before_death;terminal;season_measure;Township;measure;bm;division
6;B;58.96235455;359;252;3244;10;origin1;Y;NA;0;season2;G;measured;3244;G
6;B;59.03901437;359;252;3182;10;origin1;Y;NA;0;season2;G;measured;3182;G
6;B;59.12388775;359;252;3239;10;origin1;Y;NA;0;season2;G;measured;3239;G
6;B;59.29089665;361;253;3336;10;origin1;Y;NA;0;season3;G;measured;3336;G
6;B;59.37303217;360;255;3317;10;origin1;Y;NA;0;season3;G;measured;3317;G
6;B;59.45790554;359;254;3357;10;origin1;Y;NA;0;season3;G;measured;3357;G
6;B;59.54277892;361;255;3358;10;origin1;Y;NA;0;season3;G;measured;3358;G
6;B;59.62491444;357;256;3155;10;origin1;Y;NA;0;season1;G;measured;3155;G
6;B;59.77823409;360;254;3334;10;origin1;Y;NA;0;season1;G;measured;3334;G
6;B;60.00821355;359;NA;3325;10;origin1;Y;NA;0;season2;G;measured;3325;G
6;B;60.15879535;364;255;3357;10;origin1;Y;NA;0;season2;G;measured;3357;G
6;B;60.183436;355;251;3246;10;origin1;Y;NA;0;season2;G;measured;3246;G
6;B;60.19164956;355;251;NA;10;origin1;Y;NA;0;season2;G;estimated;3144.30708;G
6;B;60.26830938;355;257;3223;10;origin1;Y;NA;0;season3;G;measured;3223;G
6;B;61.24572211;325;258;3075;10;origin1;Y;NA;0;season2;G;measured;3075;G
6;B;61.30321697;322;258;3070;10;origin1;Y;NA;0;season3;G;measured;3070;G
6;B;61.34702259;315;258;3062;10;origin1;Y;NA;0;season3;G;measured;3062;G
6;B;61.44832307;313;253;3060;10;origin1;Y;NA;0;season3;G;measured;3060;G
6;B;61.54688569;316;258;3055;10;origin1;Y;NA;0;season3;G;measured;3055;G
6;B;61.82614648;300;258;3038;10;origin1;Y;NA;0;season1;G;measured;3038;G
6;B;61.9028063;300;258;3035;10;origin1;Y;NA;0;season1;G;measured;3035;G
6;B;61.98220397;303;258;3050;10;origin1;Y;NA;0;season2;G;measured;3050;G
6;B;62.23682409;NA;NA;3058;10;origin1;Y;NA;0;season2;G;measured;3058;G
6;B;62.24229979;305;258;3058;10;origin1;Y;NA;0;season2;G;measured;3058;G
6;B;62.32443532;300;258;3053;10;origin1;Y;NA;0;season3;G;measured;3053;G
6;B;62.47775496;302;258;3056;10;origin1;Y;NA;0;season3;G;measured;3056;G
6;B;62.57357974;304;258;3058;10;origin1;Y;NA;0;season3;G;measured;3058;G
6;B;62.65845311;304;258;3058;10;origin1;Y;NA;0;season1;G;measured;3058;G
6;B;62.82819986;275;258;2948;10;origin1;Y;NA;0;season1;G;measured;2948;G
18;B;52.59137577;366;240;3229;15;origin1;Y;NA;0;season2;I;measured;3229;G
19;B;18.50787132;365.76;246.38;NA;16;origin1;Y;NA;0;season1;F;estimated;3171.682268688;G
19;B;19.86036961;365.76;255.27;NA;16;origin1;Y;NA;0;season2;F;estimated;3327.879568688;G
19;B;22.11088296;365.76;256.54;NA;16;origin1;Y;NA;0;season3;F;estimated;3350.193468688;G
19;B;24.26557153;378.46;254;NA;16;origin1;Y;NA;0;season3;F;estimated;3451.153624908;G
19;B;25.86447639;365.76;256.54;NA;16;origin1;Y;NA;0;season2;F;estimated;3350.193468688;G
19;B;27.1321013;383.54;256.54;NA;16;origin1;Y;NA;0;season3;F;estimated;3559.312209708;G
19;B;29.0513347;383.54;259.08;NA;16;origin1;Y;NA;0;season2;F;estimated;3603.940009708;G
